counterparty_id,client_id,counterparty_name,counterparty_type,country_code,currency_code,risk_category
CP000000060,CLI000000005,Linden Immobilien Direkt UG (haftungsbeschränkt),CUSTOMER,DE,EUR,LOW
CP000000061,CLI000000005,Spree Logistik Saxonia AG,SUPPLIER,DE,EUR,LOW
CP000000062,CLI000000006,Hafen Werk GmbH,CUSTOMER,DE,EUR,LOW
CP000000063,CLI000000006,Hafen Energie e.K.,SUPPLIER,DE,EUR,LOW
CP000000064,CLI000000006,Elbe Operations Europa e.K.,SUPPLIER,DE,EUR,LOW
CP000000065,CLI000000006,Stern Engineering UG (haftungsbeschränkt),SUPPLIER,DE,EUR,LOW
CP000000066,CLI000000006,West Development Bavaria e.K.,SUPPLIER,DE,EUR,LOW
CP000000067,CLI000000006,Germania Digital e.K.,SUPPLIER,DE,EUR,LOW
CP000000068,CLI000000006,Pioneer Management UG (haftungsbeschränkt),SUPPLIER,DE,EUR,LOW
CP000000069,CLI000000007,Elbe Gesundheit e.K.,CUSTOMER,DE,EUR,LOW
CP000000070,CLI000000007,Europa Bau Bavaria UG (haftungsbeschränkt),SUPPLIER,US,DKK,HIGH
CP000000071,CLI000000007,Atlas Immobilien UG (haftungsbeschränkt),CUSTOMER,DE,EUR,MEDIUM
CP000000072,CLI000000007,Stern Maritim e.K.,SUPPLIER,DE,EUR,MEDIUM
CP000000073,CLI000000007,Spree Manufacturing Deutschland e.K.,SUPPLIER,DE,EUR,LOW
CP000000074,CLI000000007,Brücke Immobilien e.K.,CUSTOMER,DE,EUR,LOW
CP000000075,CLI000000008,Main Manufacturing Prime AG,CUSTOMER,DE,EUR,MEDIUM
CP000000076,CLI000000008,Spree Logistik Bavaria e.K.,SUPPLIER,DE,EUR,LOW
CP000000077,CLI000000008,Elbe Partner e.K.,SUPPLIER,DE,EUR,HIGH
CP000000078,CLI000000008,Central Werk e.K.,CUSTOMER,DE,EUR,LOW
CP000000079,CLI000000008,Taunus Technik Süd AG,CUSTOMER,DE,EUR,LOW
CP000000080,CLI000000008,Süd Werk Hanse AG,SUPPLIER,DE,EUR,LOW
CP000000081,CLI000000008,Spree Bildung Kompetenz e.K.,CUSTOMER,DE,EUR,LOW
CP000000082,CLI000000008,Atlas Bildung Kompetenz GmbH,CUSTOMER,DE,EUR,LOW
CP000000083,CLI000000008,Kontor Automotive AG,SUPPLIER,DE,EUR,MEDIUM
CP000000084,CLI000000008,Rhein Manufacturing UG (haftungsbeschränkt),SUPPLIER,DE,EUR,LOW
CP000000085,CLI000000008,Linden Development e.K.,CUSTOMER,DE,EUR,HIGH
CP000000086,CLI000000008,Main Bildung Deutschland e.K.,SUPPLIER,DE,EUR,HIGH
CP000000087,CLI000000008,Süd Innovation Kompetenz AG,CUSTOMER,DE,EUR,MEDIUM
CP000000088,CLI000000008,Berg Gesundheit e.K.,SUPPLIER,DE,EUR,LOW
