bank_transaction_id,bank_account_id,client_id,transaction_date,value_date,currency_code,transaction_amount,transaction_amount_eur,transaction_type,reference_text,reconciliation_status
BTX000000039,BAC000000006,CLI000000006,2023-02-19,2023-02-20,EUR,1187.20,1187.20,CUSTOMER_PAYMENT,AR-00006-202302-000043,MATCHED
BTX000000040,BAC000000006,CLI000000006,2023-04-05,2023-04-05,EUR,-934.17,-934.17,SUPPLIER_PAYMENT,AP-00006-202302-000044,MATCHED
BTX000000041,BAC000000006,CLI000000006,2023-04-19,2023-04-20,EUR,-1719.83,-1719.83,SUPPLIER_PAYMENT,AP-00006-202302-000045,MATCHED
BTX000000042,BAC000000007,CLI000000007,2023-03-26,2023-03-26,EUR,2527.20,2527.20,CUSTOMER_PAYMENT,AR-00007-202301-000047,MATCHED
BTX000000043,BAC000000007,CLI000000007,2023-02-05,2023-02-06,EUR,-440.85,-440.85,SUPPLIER_PAYMENT,AP-00007-202301-000049,MATCHED
BTX000000044,BAC000000007,CLI000000007,2023-03-14,2023-03-14,EUR,1168.71,1168.71,CUSTOMER_PAYMENT,AR-00007-202302-000050,MATCHED
BTX000000045,BAC000000007,CLI000000007,2023-04-08,2023-04-09,EUR,-791.24,-791.24,SUPPLIER_PAYMENT,AP-00007-202302-000051,MATCHED
BTX000000046,BAC000000008,CLI000000008,2023-02-09,2023-02-09,EUR,347.59,347.59,CUSTOMER_PAYMENT,AR-00008-202301-000052,MATCHED
BTX000000047,BAC000000008,CLI000000008,2023-01-27,2023-01-27,EUR,1558.07,1558.07,CUSTOMER_PAYMENT,AR-00008-202301-000053,MATCHED
BTX000000048,BAC000000008,CLI000000008,2023-03-02,2023-03-03,EUR,276.43,276.43,CUSTOMER_PAYMENT,AR-00008-202302-000059,MATCHED
BTX000000049,BAC000000008,CLI000000008,2023-03-31,2023-04-01,EUR,-633.36,-633.36,SUPPLIER_PAYMENT,AP-00008-202302-000060,MATCHED
BTX000000050,BAC000000008,CLI000000008,2023-03-15,2023-03-15,EUR,-772.38,-772.38,SUPPLIER_PAYMENT,AP-00008-202302-000061,MATCHED
BTX000000051,BAC000000008,CLI000000008,2023-04-05,2023-04-05,EUR,-2824.77,-2824.77,SUPPLIER_PAYMENT,AP-00008-202302-000062,MATCHED
BTX000000052,BAC000000008,CLI000000008,2023-02-26,2023-02-26,EUR,-4145.22,-4145.22,SUPPLIER_PAYMENT,AP-00008-202302-000063,MATCHED
